long,lat,sensor_name,Postcode,Address,UK-AIR ID,EU Site ID,EMEP Site ID,Environment Type,Zone,Start Date,End Date,Latitude,Longitude,Northing,Easting,Altitude (m),Networks,AURN Pollutants Measured,Site Description
-1.9574,50.6131,1326 [WEATHER],BH,,,,,,,,,,,,,,,,
-3.9962,55.0144,13298 [WEATHER],DG,,,,,,,,,,,,,,,,
-3.6507,50.2922,1362 [WEATHER],TQ,,,,,,,,,,,,,,,,
-3.3219,57.7115,137 [WEATHER],IV,,,,,,,,,,,,,,,,
-3.4937,50.5445,1371 [WEATHER],TQ,,,,,,,,,,,,,,,,
-3.2384,50.6793,1379 [WEATHER],EX,,,,,,,,,,,,,,,,
-3.2258,50.9085,1382 [WEATHER],EX,,,,,,,,,,,,,,,,
-5.3266,50.2178,1395 [WEATHER],TR,,,,,,,,,,,,,,,,
-4.7543,50.6459,1412 [WEATHER],PL,,,,,,,,,,,,,,,,
-2.5191,57.6612,142 [WEATHER],AB,,,,,,,,,,,,,,,,
-3.9437,57.9805,14444 [WEATHER],KW,,,,,,,,,,,,,,,,
-5.9398,54.5602,1475 [WEATHER],BT,,,,,,,,,,,,,,,,
-6.0715,54.4525,1489 [WEATHER],BT,,,,,,,,,,,,,,,,
-6.0009,54.1268,1491 [WEATHER],BT,,,,,,,,,,,,,,,,
-6.0052,54.2054,1494 [WEATHER],BT,,,,,,,,,,,,,,,,
-5.9088,54.5837,1501 [WEATHER],BT,,,,,,,,,,,,,,,,
-2.7758,56.5537,15045 [WEATHER],DD,,,,,,,,,,,,,,,,
-5.87,54.5649,1508 [WEATHER],BT,,,,,,,,,,,,,,,,
-6.1955,54.3591,1509 [WEATHER],BT,,,,,,,,,,,,,,,,
-6.6487,54.3523,1530 [WEATHER],BT,,,,,,,,,,,,,,,,
-3.4427,56.3442,15365 [WEATHER],PH,,,,,,,,,,,,,,,,
-7.9001,54.4391,1563 [WEATHER],BT,,,,,,,,,,,,,,,,
-2.4244,50.6368,16612 [WEATHER],DT,,,,,,,,,,,,,,,,
-2.228,54.6689,17183 [WEATHER],DL,,,,,,,,,,,,,,,,
-2.5406,56.8928,17310 [WEATHER],AB,,,,,,,,,,,,,,,,
-2.4024,57.0317,176 [WEATHER],AB,,,,,,,,,,,,,,,,
-3.07182,56.45699000000001,181 [POLLEN],DD,"Unnamed Road, Invergowrie, Dundee DD2 5DA, UK",,,,,,,,,,,,,,,
-3.5447,55.8849,18985 [WEATHER],EH,,,,,,,,,,,,,,,,
-3.9231,57.5253,19193 [WEATHER],IV,,,,,,,,,,,,,,,,
-3.588,55.0473,19259 [WEATHER],DG,,,,,,,,,,,,,,,,
-4.1105,56.5281,205 [WEATHER],PH,,,,,,,,,,,,,,,,
-3.8761,56.3382,208 [WEATHER],PH,,,,,,,,,,,,,,,,
-3.7683,56.7181,214 [WEATHER],PH,,,,,,,,,,,,,,,,
-3.5456,56.7482,219 [WEATHER],PH,,,,,,,,,,,,,,,,
-3.4112,56.2146,226 [WEATHER],KY,,,,,,,,,,,,,,,,
-3.8416,50.5168,23510 [WEATHER],TQ,,,,,,,,,,,,,,,,
-2.3111,51.9038,24218 [WEATHER],GL,,,,,,,,,,,,,,,,
1.1812,52.8437,24219 [WEATHER],NR,,,,,,,,,,,,,,,,
-7.4982,54.8079,24770 [WEATHER],BT,,,,,,,,,,,,,,,,
-2.4558,54.8105,24793 [WEATHER],CA,,,,,,,,,,,,,,,,
-3.2263,55.8231,249 [WEATHER],EH,,,,,,,,,,,,,,,,
-2.1323,53.9754,2515 [WEATHER],BD,,,,,,,,,,,,,,,,
-3.2277,59.1126,25315 [WEATHER],KW,,,,,,,,,,,,,,,,
-6.6191,54.4833,25353 [WEATHER],BT,,,,,,,,,,,,,,,,
-2.7334,54.935,25618 [WEATHER],CA,,,,,,,,,,,,,,,,
-2.6505,55.9213,262 [WEATHER],EH,,,,,,,,,,,,,,,,
-2.6609,55.7375,267 [WEATHER],TD,,,,,,,,,,,,,,,,
-1.5146,53.6721,2710 [WEATHER],WF,,,,,,,,,,,,,,,,
-2.9046,55.5409,279 [WEATHER],TD,,,,,,,,,,,,,,,,
-2.467,55.6028,286 [WEATHER],TD,,,,,,,,,,,,,,,,
-1.9431,55.1542,300 [WEATHER],NE,,,,,,,,,,,,,,,,
-2.7886,50.8213,30084 [WEATHER],DT,,,,,,,,,,,,,,,,
-4.1002,51.9182,30448 [WEATHER],SA,,,,,,,,,,,,,,,,
-2.0507,55.7326,30747 [WEATHER],TD,,,,,,,,,,,,,,,,
-3.9239,56.6207,30810 [WEATHER],PH,,,,,,,,,,,,,,,,
-1.2159,54.4278,347 [WEATHER],TS,,,,,,,,,,,,,,,,
-0.6241,54.4807,359 [WEATHER],YO,,,,,,,,,,,,,,,,
-0.421,54.2726,360 [WEATHER],YO,,,,,,,,,,,,,,,,
-0.6415,54.1048,367 [WEATHER],YO,,,,,,,,,,,,,,,,
-4.9151,58.3112,38 [WEATHER],IV,,,,,,,,,,,,,,,,
-0.0077,53.253,3805 [WEATHER],LN,,,,,,,,,,,,,,,,
-0.5019,53.0309,386 [WEATHER],NG,,,,,,,,,,,,,,,,
-0.1712,53.0935,393 [WEATHER],LN,,,,,,,,,,,,,,,,
0.348,53.1476,403 [WEATHER],PE,,,,,,,,,,,,,,,,
1.025,51.9592,439 [WEATHER],CO,,,,,,,,,,,,,,,,
0.1311,52.1935,454 [WEATHER],CB,,,,,,,,,,,,,,,,
1.4848,52.6105,4934 [WEATHER],NR,,,,,,,,,,,,,,,,
-3.9905,58.5613,50 [WEATHER],KW,,,,,,,,,,,,,,,,
-2.1623,54.0996,509 [WEATHER],BD,,,,,,,,,,,,,,,,
0.8325,52.1719,5100 [WEATHER],IP,,,,,,,,,,,,,,,,
-1.4899,53.381,525 [WEATHER],S,,,,,,,,,,,,,,,,
-1.1467,53.8275,535 [WEATHER],YO,,,,,,,,,,,,,,,,
-1.9124,53.2577,539 [WEATHER],SK,,,,,,,,,,,,,,,,
-5.2383,56.3079,55831 [WEATHER],PA,,,,,,,,,,,,,,,,
-5.7759,57.69600000000001,55890 [WEATHER],IV,,,,,,,,,,,,,,,,
-4.3728,57.5945,55896 [WEATHER],IV,,,,,,,,,,,,,,,,
-4.2828,55.6148,56107 [WEATHER],KA,,,,,,,,,,,,,,,,
-3.3217,55.6037,56130 [WEATHER],EH,,,,,,,,,,,,,,,,
-4.1047,53.1881,56339 [WEATHER],LL,,,,,,,,,,,,,,,,
-1.5871,53.0988,56423 [WEATHER],DE,,,,,,,,,,,,,,,,
-3.5415,57.3374,56463 [WEATHER],PH,,,,,,,,,,,,,,,,
-3.21084,51.49536,56923 [POLLEN],CF,"University, Cardiff CF5 2YB, UK",,,,,,,,,,,,,,,
-0.4252,53.84243000000001,56924 [POLLEN],HU,"8 Citadel Ct, Beverley HU17 0AF, UK",,,,,,,,,,,,,,,
1.1997,52.05638,56928 [POLLEN],IP,"Ipswich Hospital, Ipswich IP4 5PD, UK",,,,,,,,,,,,,,,
-1.29944,50.71052,56929 [POLLEN],PO,"Helipad, Toy Library, 5XE, Dodnor Ln, Newport, United Kingdom",,,,,,,,,,,,,,,
-4.13725,50.37461,56933 [POLLEN],PL,"40 Drake Circus, Plymouth PL4 8AB, UK",,,,,,,,,,,,,,,
-1.05194,53.94819,56936 [POLLEN],YO,"396 Harewood Way, Heslington, York YO10 5DS, UK",,,,,,,,,,,,,,,
-5.9378400000000005,54.58537,56952 [POLLEN],BT,"14-40 Fitzwilliam St, Belfast BT9 6AW, UK",,,,,,,,,,,,,,,
-1.12227,52.62155,56954 [POLLEN],LE,"Unnamed Road, Leicester LE1 7RD, UK",,,,,,,,,,,,,,,
-0.11533,51.51022,56956 [POLLEN],WC,"A3211, London, UK",,,,,,,,,,,,,,,
-2.24165,52.19716,56957 [POLLEN],WR,"University of Worcester, Henwick Grove, Worcester WR2 6AJ, United Kingdom",,,,,,,,,,,,,,,
-2.8967400000000003,53.19835,57070 [POLLEN],CH,"3 Cheyney Rd, Chester CH1 4BR, UK",,,,,,,,,,,,,,,
-5.055,55.8254,57118 [WEATHER],PA,,,,,,,,,,,,,,,,
-3.7201,51.5548,57233 [WEATHER],SA,,,,,,,,,,,,,,,,
-3.53101,50.73599,57263 [POLLEN],EX,"Streatham Court, Exeter EX4 4PU, UK",,,,,,,,,,,,,,,
0.189,53.3983,57266 [WEATHER],LN,,,,,,,,,,,,,,,,
-5.3353,58.015,57267 [WEATHER],IV,,,,,,,,,,,,,,,,
-5.596,57.7745,60 [WEATHER],IV,,,,,,,,,,,,,,,,
-1.2625,51.7607,606 [WEATHER],OX,,,,,,,,,,,,,,,,
-0.9948,51.669,609 [WEATHER],OX,,,,,,,,,,,,,,,,
-0.6413,51.5062,6182 [WEATHER],SL,,,,,,,,,,,,,,,,
-2.7137,55.0648,61875 [WEATHER],CA,,,,,,,,,,,,,,,,
-2.4665,52.5235,61908 [WEATHER],WV,,,,,,,,,,,,,,,,
-2.5437,57.3207,62004 [WEATHER],AB,,,,,,,,,,,,,,,,
-5.0741,54.8629,62015 [WEATHER],DG,,,,,,,,,,,,,,,,
-0.6559,51.6641,62031 [WEATHER],HP,,,,,,,,,,,,,,,,
-1.8616,54.1643,62033 [WEATHER],HG,,,,,,,,,,,,,,,,
-2.5808,54.5383,62037 [WEATHER],CA,,,,,,,,,,,,,,,,
-0.0896,51.9429,62057 [WEATHER],SG,,,,,,,,,,,,,,,,
-4.2764,55.1444,62076 [WEATHER],DG,,,,,,,,,,,,,,,,
-2.2433,54.5131,62082 [WEATHER],CA,,,,,,,,,,,,,,,,
-1.5571,52.8641,62119 [WEATHER],DE,,,,,,,,,,,,,,,,
-3.4739,52.3639,62142 [WEATHER],LD,,,,,,,,,,,,,,,,
-4.7801,55.3556,62149 [WEATHER],KA,,,,,,,,,,,,,,,,
-3.3097,57.3192,62151 [WEATHER],AB,,,,,,,,,,,,,,,,
-0.8931,52.3014,62152 [WEATHER],NN,,,,,,,,,,,,,,,,
-1.9499,53.0554,628 [WEATHER],ST,,,,,,,,,,,,,,,,
-2.8895,52.6733,636 [WEATHER],SY,,,,,,,,,,,,,,,,
-2.8404,52.7243,638 [WEATHER],SY,,,,,,,,,,,,,,,,
-5.6521,57.3375,64 [WEATHER],IV,,,,,,,,,,,,,,,,
-2.5844,51.9108,671 [WEATHER],HR,,,,,,,,,,,,,,,,
-1.9945,51.7085,688 [WEATHER],GL,,,,,,,,,,,,,,,,
-0.449,51.4787,708 [WEATHER],TW,,,,,,,,,,,,,,,,
-0.4153,51.5482,709 [WEATHER],HA,,,,,,,,,,,,,,,,
-0.319,51.2603,720 [WEATHER],RH,,,,,,,,,,,,,,,,
0.0597,50.8961,7228 [WEATHER],BN,,,,,,,,,,,,,,,,
0.1362,51.2035,730 [WEATHER],TN,,,,,,,,,,,,,,,,
0.8796,51.2965,757 [WEATHER],ME,,,,,,,,,,,,,,,,
-1.4778,51.3193,7621 [WEATHER],SP,,,,,,,,,,,,,,,,
-0.6751,50.7813,782 [WEATHER],PO,,,,,,,,,,,,,,,,
0.2846,50.7587,808 [WEATHER],BN,,,,,,,,,,,,,,,,
0.5716,50.8552,818 [WEATHER],TN,,,,,,,,,,,,,,,,
-3.4372,50.9526,8231 [WEATHER],EX,,,,,,,,,,,,,,,,
-1.1117,51.6026,825 [WEATHER],OX,,,,,,,,,,,,,,,,
-0.9366,51.4408,830 [WEATHER],RG,,,,,,,,,,,,,,,,
-1.8224,50.7337,843 [WEATHER],BH,,,,,,,,,,,,,,,,
-1.7708,50.8837,844 [WEATHER],BH,,,,,,,,,,,,,,,,
-1.5685,51.1493,847 [WEATHER],SO,,,,,,,,,,,,,,,,
-1.3339,51.0084,855 [WEATHER],SO,,,,,,,,,,,,,,,,
-4.2959,50.7104,8605 [WEATHER],EX,,,,,,,,,,,,,,,,
-0.9846,50.7845,863 [WEATHER],PO,,,,,,,,,,,,,,,,
-1.2118,50.5922,877 [WEATHER],PO,,,,,,,,,,,,,,,,
-1.1794,50.6231,878 [WEATHER],PO,,,,,,,,,,,,,,,,
-2.1133,51.4307,883 [WEATHER],SN,,,,,,,,,,,,,,,,
-1.8044,51.2013,888 [WEATHER],SP,,,,,,,,,,,,,,,,
-1.7532,51.1613,889 [WEATHER],SP,,,,,,,,,,,,,,,,
-3.8083,50.8626,8898 [WEATHER],EX,,,,,,,,,,,,,,,,
-1.183,60.1395,9 [WEATHER],ZE,,,,,,,,,,,,,,,,
-2.8599,50.9408,9092 [WEATHER],TA,,,,,,,,,,,,,,,,
-5.4266,56.0344,915 [WEATHER],PA,,,,,,,,,,,,,,,,
-4.9838,56.0282,926 [WEATHER],PA,,,,,,,,,,,,,,,,
-2.9208,51.1146,9280 [WEATHER],TA,,,,,,,,,,,,,,,,
-5.153,55.592,937 [WEATHER],KA,,,,,,,,,,,,,,,,
-4.5659,56.0481,949 [WEATHER],G,,,,,,,,,,,,,,,,
-2.4126,51.2729,9529 [WEATHER],BA,,,,,,,,,,,,,,,,
-4.3292,55.9733,954 [WEATHER],G,,,,,,,,,,,,,,,,
-3.6851,56.0093,963 [WEATHER],FK,,,,,,,,,,,,,,,,
-4.0218,55.786,980 [WEATHER],ML,,,,,,,,,,,,,,,,
-3.7583,55.4164,983 [WEATHER],ML,,,,,,,,,,,,,,,,
-4.8922,55.7227,996 [WEATHER],KA,,,,,,,,,,,,,,,,
-2.1031362,57.1453481,Aberdeen Union Street Roadside [AQ],AB,"179 Union St, Aberdeen AB11 6BB, UK",UKA00513,GB0923A,,Traffic Urban,North East Scotland,01/01/2008,,57.144555000000004,-2.106472,805967.6,393655.92,26.0,Automatic Urban and Rural Network (AURN),Nitric oxide; Nitrogen dioxide; Nitrogen oxides as nitrogen dioxide; Modelled Wind Direction; Modelled Wind Speed; Modelled Temperature,"The monitoring station is within a small self-contained housing located on the north side of the A9013 Union Street, near the junction with Bon Accord Street. This location is within a busy commercial area."
-2.0888228,57.11976189999999,Aberdeen Wellington Road [AQ],AB,"Wellington Rd, Aberdeen AB12, UK",UKA00615,GB1057A,,Traffic Urban,North East Scotland,09/02/2016,,57.133888,-2.094198,804779.0,394397.0,19.0,Automatic Urban and Rural Network (AURN),Nitric oxide; Nitrogen dioxide; Nitrogen oxides as nitrogen dioxide; Modelled Wind Direction; Modelled Wind Speed; Modelled Temperature,"This site is situated approximately 2m from the roadside on Wellington Road, Adjacent to 117 Menzies Road, Aberdeen "
-2.094278,57.149717,Aberdeen [AQ],AB,"79 Queen St, Aberdeen AB10 1AN, UK",UKA00399,GB0729A,,Background Urban,North East Scotland,18/09/1999,19/02/2009,57.15736,-2.094278,807391.98,394395.8,20.0,Automatic Urban and Rural Network (AURN),Ozone; Nitric oxide; Nitrogen dioxide; Nitrogen oxides as nitrogen dioxide; PM10 particulate matter (Hourly measured); Non-volatile PM10 (Hourly measured); Volatile PM10 (Hourly measured); PM2.5 particulate matter (Hourly measured); Non-volatile PM2.5 (Hourly measured); Volatile PM2.5 (Hourly measured); Modelled Wind Direction; Modelled Wind Speed; Modelled Temperature; PM10 Ambient Temperature; PM10 Ambient pressure measured; PM2.5 Ambient Temperature; PM2.5 Ambient Preasure,"The monitoring station is within a self-contained, air conditioned housing located in an open area of ground within a housing development.  The city centre is approximately 1 kilometre from the site and Aberdeen beach is around 500m away. The nearest main road, the A956, is 70m away."
-6.632200900000001,54.3350182,Armagh Roadside [AQ],BT,"22 Markethill Rd, Armagh BT60 1NP, UK",UKA00541,GB0996A,,Traffic Urban,Northern Ireland,01/01/2009,03/09/2010,54.353728000000004,-6.654558,505347.21,97683.9,41.0,Automatic Urban and Rural Network (AURN),Nitric oxide; Nitrogen dioxide; Nitrogen oxides as nitrogen dioxide; PM10 particulate matter (Hourly measured); Non-volatile PM10 (Hourly measured); Volatile PM10 (Hourly measured); Modelled Wind Direction; Modelled Wind Speed; Modelled Temperature; PM10 Ambient Temperature; PM10 Ambient pressure measured,"The monitoring station is within a self-contained, air-conditioned housing at the junction of Railway Street and the A29 Lonsdale Road. The immediate area is residential with commercial and light industrial areas nearby."
-0.709176,51.782763,Aston Hill [AQ],HP,"Aston Hill, Halton, Buckinghamshire, HP22 5NQ, United Kingdom",UKA00137,GB0031R,GB0031R,Background Rural,North Wales,26/06/1986,,52.50385,-3.034178,290053.08,329898.9,370.0,Automatic Urban and Rural Network (AURN),Ozone; Nitric oxide; Nitrogen dioxide; Nitrogen oxides as nitrogen dioxide; Modelled Wind Direction; Modelled Wind Speed; Modelled Temperature,"The monitoring station is within a self-contained, air conditioned housing located in a field on the Welsh-English border. The nearest road is an access-only road for nearby farm buildings and is approximately 400 metres from the monitoring station. The surrounding area is rural and generally open with the nearest trees approximately 50 metres distance from the station."
-3.2431028,55.792323,Auchencorth Moss [AQ],EH,"Springfield Rd, Penicuik EH26 8PR, UK",UKA00451,GB0048R,GB0048R,Background Rural,Central Scotland,01/01/2003,08/08/2018,55.792159999999996,-3.2429,656128.11,322165.87,260.0,Acid Gas and Aerosol Network; Automatic Hydrocarbon Monitoring Network; Automatic Urban and Rural Network (AURN); Daily rainfall EMEP; Heavy Metals Network; MARGA network; National Ammonia Monitoring Network; PAH Andersen; PAH Deposition; PAH Digitel (solid phase); PAH Digitel (solid+vapour); Particulates; TEKRAN (Mercury) Network; Tomps; UK Black Carbon Network; Weekly Rural SO2; Weekly rainfall (LOW),Ozone; PM10 particulate matter (Hourly measured); PM2.5 particulate matter (Hourly measured); Modelled Wind Direction; Modelled Wind Speed; Modelled Temperature,"The monitoring station is within a self-contained housing, located in an elevated rural environment, 1.5 kilometres north west of the A701 at Leadburn and 18 kilometres south of Edinburgh city centre."
-6.2747671999999985,54.84950840000001,Ballymena Antrim Road [AQ],BT,"53 Antrim Rd, Ballymena BT42 2HB, UK",UKA00633,GB1074A,,Traffic Urban,Northern Ireland,01/04/2017,,54.851491,-6.274961,559121.0,125704.0,53.0,Automatic Urban and Rural Network (AURN),Nitric oxide; Nitrogen dioxide; Nitrogen oxides as nitrogen dioxide; Modelled Wind Direction; Modelled Wind Speed; Modelled Temperature,Roadside monitoring station beside the Antrim Road. Located in a residential area to the south of Ballymena town centre.
-6.262428,54.857937,Ballymena Ballykeel [AQ],BT,"Ballykeel, Ballymena BT42 4AL, UK",UKA00503,GB0934A,,Background Urban,Northern Ireland,11/01/2007,31/12/2011,54.861594999999994,-6.250873,560150.05,127317.09,59.0,Automatic Urban and Rural Network (AURN); PAH Digitel (solid phase); UK Black Carbon Network,Nitric oxide; Nitrogen dioxide; Nitrogen oxides as nitrogen dioxide; Sulphur dioxide; Modelled Wind Direction; Modelled Wind Speed; Modelled Temperature,"The monitoring station is within a self-contained, air-conditioned housing on Orkney Road at the rear of a housing development off of Old Crebilly Road. The surrounding area is urban residential. The monitoring station is approimately 50 metres West of the M2 motorway."
-1.5137528999999998,53.561483,Barnsley Gawber [AQ],S,"14 Beever Ln, Barnsley S75 2RP, UK",UKA00353,GB0681A,,Background Urban,Yorkshire & Humberside,07/07/1997,30/09/2007,53.56292,-1.5104360000000001,407478.45,432524.22,100.0,Automatic Urban and Rural Network (AURN); Non-Automatic Hydrocarbon Network,Ozone; Nitric oxide; Nitrogen dioxide; Nitrogen oxides as nitrogen dioxide; Sulphur dioxide; Modelled Wind Direction; Modelled Wind Speed; Modelled Temperature,"The monitoring station is within an existing building located on the edge of a sports field surrounded on two sides by residential properties. The site is situated approximately 290 metres from the nearest main road, Wilthorpe Road (A635). The surrounding area comprises of open space and nearby residential premises."
-4.0541334,51.0786717,Barnstaple A39 [AQ],EX,"5 Bedford St, Barnstaple EX32 8JR, UK",UKA00574,GB1029A,,Traffic Urban,South West,14/11/2013,02/08/2018,51.074793,-4.041924,132591.0,257048.0,13.0,Automatic Urban and Rural Network (AURN),PM10 particulate matter (Hourly measured); PM2.5 particulate matter (Hourly measured); Modelled Wind Direction; Modelled Wind Speed; Modelled Temperature,"The monitoring station lies within a self-contained air conditioned mobile unit along the roadside of A39 -Eastern Avenue, 1.2 km east of Barnstaple town centre. The surrounding area comprises residential houses, and some industry. The Whiddon Valley Industrial Estate and the major road A361 lie 100m and 750m to the south east respectively."
-2.354155,51.391127,Bath Roadside [AQ],BA,"14 Walcot Gate, Bath BA1 6AD, UK",UKA00306,GB0647A,,Traffic Urban,South West,18/11/1996,11/06/2019,51.391127000000004,-2.354155,165847.02,375454.5,27.0,Automatic Urban and Rural Network (AURN); Non-Automatic Hydrocarbon Network,,The monitoring station is located in the basement of a property adjacent to the A4 trunk road which runs from Bristol to Reading. This is a busy two lane two-way road which is subject to frequent congestion. The monitoring station is located approximately 150 metres from a set of traffic lights. The majority of the buildings surrounding the site are three to four storeys creating street canyons within the immediate vicinity.
-5.930879,54.597366,Belfast Centre [AQ],BT,"9 Donegall Square N, Belfast BT1 5GJ, UK",UKA00212,GB0567A,,Background Urban,Belfast Metropolitan Urban Area,08/03/1992,16/09/2019,54.59965,-5.928833,529816.59,146337.91,10.0,Automatic Urban and Rural Network (AURN); Heavy Metals Network; Non-Automatic Hydrocarbon Network; Partisol Research; UK Black Carbon Network,Ozone; Nitric oxide; Nitrogen dioxide; Nitrogen oxides as nitrogen dioxide; Sulphur dioxide; Carbon monoxide; PM10 particulate matter (Hourly measured); PM2.5 particulate matter (Hourly measured); Modelled Wind Direction; Modelled Wind Speed; Modelled Temperature,"The monitoring station is within a self-contained, air-conditioned housing located at the junction between Lombard Street and High Street in a pedestrian precinct. The site is approximately 15 metres from the road junction. The surrounding area is built-up and comprises urban retail and business premises typically five-storeys high which create street canyons."
-5.9745011,54.5722824,Belfast Stockman's Lane [AQ],BT,"110 Stockmans Ln, Belfast BT9 7JE, UK",UKA00594,GB1036A,,Traffic Urban,Belfast Metropolitan Urban Area,07/06/2014,,54.572586,-5.974944,526975.07,143190.78,9.0,Automatic Urban and Rural Network (AURN),Nitric oxide; Nitrogen dioxide; Nitrogen oxides as nitrogen dioxide; PM10 particulate matter (Hourly measured); Modelled Wind Direction; Modelled Wind Speed; Modelled Temperature,"The monitoring station is within a self-contained air conditioned mobile unit along the road side of A55 -   Stockman's Lane road, in the south western outskirts of Belfast's city centre. The surrounding area is mainly open to the south. A small residential area surrounds the site from the north. Shane Retail Park lies at 55 meters to the Northeast, and the M1 motorway - 150 meters to the northwest."
-1.290961,54.612537,Billingham [AQ],TS,"John Whitehead Park, United Kingdom",UKA00153,GB0421A,,Industrial Urban,Teesside Urban Area,01/01/1987,,54.60536999999999,-1.275039,523597.01,446927.61,10.0,Automatic Urban and Rural Network (AURN),Nitric oxide; Nitrogen dioxide; Nitrogen oxides as nitrogen dioxide; Modelled Wind Direction; Modelled Wind Speed; Modelled Temperature,The monitoring station is within an existing building within the grounds of a council depot. The nearest road is a minor road within the industrial area and is approximately 80 metres from the monitoring station. The surrounding area is generally open and comprises both light industrial and business units with nearby residential dwellings.
-3.0326453,53.3756645,Birkenhead Borough Road [AQ],CH,"786A Borough Rd, Birkenhead CH42 9JG, UK",UKA00625,GB1066A,,Traffic Urban,Birkenhead Urban Area,18/08/2016,,53.388511,-3.025014,388453.16,331926.43,7.0,Automatic Urban and Rural Network (AURN),Nitric oxide; Nitrogen dioxide; Nitrogen oxides as nitrogen dioxide; Modelled Wind Direction; Modelled Wind Speed; Modelled Temperature,"Roadside monitoring station beside a dual carriageway section of the A552 Borough Road, approaching the centre of Birkenhead. There are houses on the south side of the road (next to the monitoring station) and a shopping centre on the opposite side."
-1.8846554,52.4881142,Birmingham A4540 Roadside [AQ],B,"2 Lister St, Birmingham B7 4AG, UK",UKA00626,GB1067A,,Traffic Urban,West Midlands Urban Area,06/09/2016,31/12/2018,52.47609,-1.8750240000000002,286469.58,408585.63,109.0,Automatic Urban and Rural Network (AURN); Non-Automatic Hydrocarbon Network; UK Black Carbon Network,Ozone; Nitric oxide; Nitrogen dioxide; Nitrogen oxides as nitrogen dioxide; PM10 particulate matter (Hourly measured); PM2.5 particulate matter (Hourly measured); Modelled Wind Direction; Modelled Wind Speed; Modelled Temperature,Roadside monitoring station beside the A4540 (Watery Lane Middleway) which forms part of Birminghamâ€™s ring road.
-1.8308359,52.4455838,Birmingham Acocks Green [AQ],B,"144 Westley Rd, Birmingham B27 7UL, UK",UKA00559,GB1013A,,Background Urban,West Midlands Urban Area,18/03/2011,16/05/2019,52.437165,-1.8299990000000002,282146.0,411653.98,134.0,Automatic Urban and Rural Network (AURN); Non-Automatic Hydrocarbon Network,Ozone; Nitric oxide; Nitrogen dioxide; Nitrogen oxides as nitrogen dioxide; PM10 particulate matter (Hourly measured); PM2.5 particulate matter (Hourly measured); Modelled Wind Direction; Modelled Wind Speed; Modelled Temperature,"The monitoring station is within a self-contained, air-conditioned housing located within the grounds of an annex to a large school. The monitoring station is approximately 70 metres from the nearest road (other than car park access road), Shirley Road."
-1.87,52.49,Birmingham Ladywood [AQ],B,"93 Cato St, Birmingham B7 4TS, UK",UKA00655,GB1097A,,Background Urban,West Midlands Urban Area,01/06/2018,25/04/2019,52.481345999999995,-1.918235,287050.0,405650.0,134.0,Automatic Urban and Rural Network (AURN); Non-Automatic Hydrocarbon Network; PAH Digitel (solid phase); UK Black Carbon Network,Ozone; Nitric oxide; Nitrogen dioxide; Nitrogen oxides as nitrogen dioxide; Sulphur dioxide; PM10 particulate matter (Hourly measured); PM2.5 particulate matter (Hourly measured); Modelled Wind Direction; Modelled Wind Speed; Modelled Temperature,
